vehicle,file,sample_index,sample_info,n_nodes,n_hard_only_material_nodes,hard_only_material_frac,n_hard_only_vectors_in_sample,hard_only_material_ids_in_sample,hard_only_min_dist_to_hic,hard_only_mean_dist_to_hic,hard_only_median_dist_to_hic,hard_only_top32_nearest_frac,hard_only_nodes_within_60,hard_only_nodes_within_150,hard_only_nodes_within_400,hard_only_frac_within_60,hard_only_frac_within_150,hard_only_frac_within_400
C201,batch_0.feather,0,C_5_8,39189,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,1,C_6_1,59372,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,2,C_6_2,62279,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,3,C_6_3,60466,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,4,C_6_4,59657,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,5,C_6_5,57775,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,6,C_6_6,53229,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,7,C_6_7,47106,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,8,C_6_8,39409,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,9,C_7_1,66381,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,10,C_1__2,73246,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,11,C_7_2,66927,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,12,C_7_3,65177,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,13,C_7_4,63115,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,14,C_7_5,60854,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,15,C_7_6,56571,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,16,C_7_7,49491,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,17,C_7_8,40676,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,18,C_8_6,60011,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,19,C_8_7,52204,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,20,C_8_8,43255,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,21,C_1__3,74493,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,22,C_9_8,48362,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,23,A_11_0,81525,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,24,A_10_0,76741,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,25,A_9_0,70102,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,26,A_8_0,68055,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,27,A_8__1,66432,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,28,A_8__2,65886,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_0.feather,29,A_8__3,65964,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
