vehicle,file,sample_info,age_label,hic_bucket,hic_true,E0_pred,E3_pred,E0_accuracy,E3_accuracy,E3_minus_E0_accuracy,E0_abs_error,E3_abs_error,E3_minus_E0_abs_error,sample_index,n_nodes,n_hard_only_material_nodes,hard_only_material_frac,n_hard_only_vectors_in_sample,hard_only_material_ids_in_sample,hard_only_min_dist_to_hic,hard_only_mean_dist_to_hic,hard_only_median_dist_to_hic,hard_only_top32_nearest_frac,hard_only_nodes_within_60,hard_only_nodes_within_150,hard_only_nodes_within_400,hard_only_frac_within_60,hard_only_frac_within_150,hard_only_frac_within_400
CY02C,batch_2.feather,A_10_8,Adult,1k-1.5k,1229.050048828125,1396.5333251953125,4946.224609375,0.880072123346026,0.24848245801426042,-0.6315896653317656,167.4832763671875,3717.174560546875,3549.6912841796875,21,40044,978,0.024423134551992808,1,1000028,201.90030311824344,255.0682500809675,256.5171150326312,0.0,0,0,978,0.0,0.0,1.0
CY02C,batch_2.feather,A_15_7,Adult,>2k,2166.739990234375,2060.76220703125,6574.63232421875,0.9510888322176296,0.32956063295780486,-0.6215281992598247,105.977783203125,4407.892578125,4301.914794921875,34,12804,7425,0.5798969072164949,1,1000028,1.6526576617150592,189.96967023778907,201.27712114096093,1.0,446,2275,7425,0.06006734006734007,0.3063973063973064,1.0
M6,batch_4.feather,A_13__5,Adult,<500,384.3500061035156,399.8803405761719,139.1730194091797,0.9611625456498332,0.3620996935061755,-0.5990628521436576,15.53033447265625,245.17698669433594,229.6466522216797,19,14211,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_4.feather,A_13__2,Adult,<500,354.55999755859375,330.9981689453125,128.22634887695312,0.9335462861701214,0.36164922653397397,-0.5718970596361475,23.56182861328125,226.33364868164062,202.77182006835938,16,12883,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_3.feather,A_10__9,Adult,1k-1.5k,1461.050048828125,2164.7548828125,14146.5712890625,0.6749263209559757,0.1032794462328652,-0.5716468747231105,703.704833984375,12685.521484375,11981.816650390625,37,37681,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_4.feather,A_13__1,Adult,<500,327.6000061035156,338.79766845703125,129.72998046875,0.9669488210927999,0.3960011540041232,-0.5709476670886766,11.197662353515625,197.87002563476562,186.67236328125,15,12918,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_4.feather,A_13__6,Adult,500-1k,808.719970703125,711.0353393554688,250.88449096679688,0.8792108085784919,0.3102241814909931,-0.5689866270874988,97.68463134765625,557.83544921875,460.15081787109375,20,17646,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_1.feather,A_13_0,Adult,<500,399.3299865722656,330.5257568359375,105.46002197265625,0.8277008187466112,0.2640924185981997,-0.5636084001484114,68.80422973632812,293.8699645996094,225.06573486328125,16,20553,10703,0.5207512285311147,1,1000028,0.5525313416660702,195.38219824801538,206.23328290834849,1.0,454,2842,10703,0.04241801364103522,0.2655330281229562,1.0
CY02C,batch_5.feather,A_13__2,Adult,<500,442.54998779296875,319.00799560546875,71.37561798095703,0.7208405929381819,0.16128261202065058,-0.5595579809175313,123.5419921875,371.17437744140625,247.63238525390625,25,22564,10536,0.46693848608402766,1,1000028,1.2755435474931118,194.50908239819753,204.4632517873522,1.0,454,2839,10536,0.04309035687167806,0.269457099468489,1.0
M6,batch_4.feather,A_13__4,Adult,<500,304.5199890136719,333.38653564453125,113.88645935058594,0.913414179804676,0.37398681025656033,-0.5394273695481157,28.866546630859375,190.63352966308594,161.76698303222656,18,12812,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
